,id,model,grid_num,reward,best_reward
218,6,pressure,20,1,1
219,6,pressure,21,0,0
220,6,pressure,22,0,0
221,6,pressure,23,1,1
222,6,pressure,24,-2,0
223,6,pressure,25,-1,0
224,6,pressure,26,2,2
225,6,pressure,27,-1,-1
226,6,pressure,28,2,2
227,6,pressure,29,0,0
228,6,pressure,30,0,0
229,6,pressure,31,0,0
230,6,pressure,32,0,0
231,7,pressure,0,-1,-1
232,7,pressure,1,0,1
233,7,pressure,2,0,0
234,7,pressure,3,-2,1
235,7,pressure,4,2,2
236,7,pressure,5,2,2
237,7,pressure,6,-1,-1
238,7,pressure,7,-2,-2
239,7,pressure,8,2,2
240,7,pressure,9,0,0
241,7,pressure,10,-1,-1
242,7,pressure,11,2,2
243,7,pressure,12,-2,-1
244,7,pressure,13,1,1
245,7,pressure,14,-2,-1
246,7,pressure,15,1,1
247,7,pressure,16,2,2
248,7,pressure,17,1,1
249,7,pressure,18,-1,-1
250,7,pressure,19,1,1
251,7,pressure,20,1,1
252,7,pressure,21,0,0
253,7,pressure,22,0,0
254,7,pressure,23,1,1
255,7,pressure,24,0,0
256,7,pressure,25,-1,0
257,7,pressure,26,2,2
258,7,pressure,27,-1,-1
259,7,pressure,28,2,2
260,7,pressure,29,0,0
261,7,pressure,30,0,0
262,7,pressure,31,0,0
263,7,pressure,32,0,0
264,8,pressure,0,-1,-1
265,8,pressure,1,0,1
266,8,pressure,2,0,0
267,8,pressure,3,-2,1
268,8,pressure,4,2,2
269,8,pressure,5,2,2
270,8,pressure,6,-1,-1
271,8,pressure,7,-2,-2
272,8,pressure,8,2,2
273,8,pressure,9,0,0
274,8,pressure,10,-1,-1
275,8,pressure,11,2,2
276,8,pressure,12,-2,-1
277,8,pressure,13,1,1
278,8,pressure,14,-1,-1
279,8,pressure,15,1,1
280,8,pressure,16,2,2
281,8,pressure,17,1,1
282,8,pressure,18,-1,-1
283,8,pressure,19,1,1
284,8,pressure,20,1,1
285,8,pressure,21,0,0
286,8,pressure,22,0,0
287,8,pressure,23,1,1
288,8,pressure,24,0,0
289,8,pressure,25,-1,0
290,8,pressure,26,2,2
291,8,pressure,27,-1,-1
292,8,pressure,28,2,2
293,8,pressure,29,0,0
294,8,pressure,30,-2,0
295,8,pressure,31,0,0
296,8,pressure,32,0,0
297,9,pressure,0,-1,-1
298,9,pressure,1,0,1
299,9,pressure,2,0,0
300,9,pressure,3,-2,1
301,9,pressure,4,2,2
302,9,pressure,5,2,2
303,9,pressure,6,-1,-1
304,9,pressure,7,-2,-2
305,9,pressure,8,2,2
306,9,pressure,9,0,0
307,9,pressure,10,-1,-1
308,9,pressure,11,2,2
309,9,pressure,12,-2,-1
310,9,pressure,13,1,1
311,9,pressure,14,-1,-1
312,9,pressure,15,1,1
313,9,pressure,16,2,2
314,9,pressure,17,1,1
315,9,pressure,18,-1,-1
316,9,pressure,19,1,1
317,9,pressure,20,1,1
318,9,pressure,21,0,0
319,9,pressure,22,0,0
320,9,pressure,23,1,1
321,9,pressure,24,-2,0
322,9,pressure,25,0,0
323,9,pressure,26,2,2
324,9,pressure,27,-1,-1
325,9,pressure,28,2,2
326,9,pressure,29,0,0
327,9,pressure,30,0,0
328,9,pressure,31,0,0
329,9,pressure,32,0,0
330,10,pressure,0,-1,-1
331,10,pressure,1,0,1
332,10,pressure,2,0,0
333,10,pressure,3,-2,1
334,10,pressure,4,2,2
335,10,pressure,5,2,2
336,10,pressure,6,-1,-1
337,10,pressure,7,-2,-2
338,10,pressure,8,2,2
339,10,pressure,9,0,0
340,10,pressure,10,-1,-1
341,10,pressure,11,2,2
342,10,pressure,12,-1,-1
343,10,pressure,13,1,1
344,10,pressure,14,-2,-1
345,10,pressure,15,1,1
346,10,pressure,16,2,2
347,10,pressure,17,0,1
348,10,pressure,18,-1,-1
349,10,pressure,19,1,1
350,10,pressure,20,1,1
351,10,pressure,21,0,0
352,10,pressure,22,0,0
353,10,pressure,23,1,1
354,10,pressure,24,0,0
355,10,pressure,25,0,0
356,10,pressure,26,2,2
357,10,pressure,27,-1,-1
358,10,pressure,28,2,2
359,10,pressure,29,0,0
360,10,pressure,30,0,0
361,10,pressure,31,0,0
362,10,pressure,32,0,0
363,11,pressure,0,-1,-1
364,11,pressure,1,0,1
365,11,pressure,2,0,0
366,11,pressure,3,1,1
367,11,pressure,4,2,2
368,11,pressure,5,2,2
369,11,pressure,6,-1,-1
370,11,pressure,7,-2,-2
371,11,pressure,8,2,2
372,11,pressure,9,0,0
373,11,pressure,10,-1,-1
374,11,pressure,11,2,2
375,11,pressure,12,-2,-1
376,11,pressure,13,0,1
377,11,pressure,14,-1,-1
378,11,pressure,15,1,1
379,11,pressure,16,2,2
380,11,pressure,17,1,1
381,11,pressure,18,-1,-1
382,11,pressure,19,1,1
