,score_dif,time_constraint,in_distrib,time_x_distrib,userid,gridnum,push,time_x_push,no_time
184,0,-0.5,-0.5,0.25,9,202,-0.5,0.25,-1
185,0,-0.5,-0.5,0.25,9,207,-0.5,0.25,-1
186,-1,-0.5,0.5,-0.25,10,303,0.0,-0.0,-1
187,-1,-0.5,-0.5,0.25,10,108,0.5,-0.25,-2
188,0,-0.5,-0.5,0.25,10,206,-0.5,0.25,-1
189,-1,-0.5,-0.5,0.25,10,106,0.5,-0.25,-2
190,-1,-0.5,-0.5,0.25,10,202,-0.5,0.25,-2
191,-1,-0.5,-0.5,0.25,10,107,0.5,-0.25,-2
192,-1,-0.5,0.5,-0.25,10,305,0.0,-0.0,-1
193,0,-0.5,0.5,-0.25,10,306,0.0,-0.0,0
194,0,-0.5,0.5,-0.25,10,402,0.0,-0.0,1
195,0,-0.5,-0.5,0.25,10,205,-0.5,0.25,-1
196,0,-0.5,0.5,-0.25,10,403,0.0,-0.0,1
197,-1,-0.5,-0.5,0.25,10,101,0.5,-0.25,-2
198,-1,-0.5,-0.5,0.25,10,207,-0.5,0.25,-2
199,0,-0.5,0.5,-0.25,10,404,0.0,-0.0,1
200,0,-0.5,-0.5,0.25,10,208,-0.5,0.25,-1
201,0,-0.5,0.5,-0.25,10,301,0.0,-0.0,0
202,-1,-0.5,-0.5,0.25,10,103,0.5,-0.25,-2
203,0,-0.5,0.5,-0.25,10,407,0.0,-0.0,1
204,0,-0.5,0.5,-0.25,10,408,0.0,-0.0,1
205,0,-0.5,-0.5,0.25,10,203,-0.5,0.25,-1
206,0,-0.5,0.5,-0.25,10,406,0.0,-0.0,1
207,0,-0.5,0.5,-0.25,10,401,0.0,-0.0,1
208,0,-0.5,-0.5,0.25,10,204,-0.5,0.25,-1
209,0,-0.5,0.5,-0.25,10,304,0.0,-0.0,0
210,0,-0.5,0.5,-0.25,10,405,0.0,-0.0,1
211,0,-0.5,0.5,-0.25,10,308,0.0,-0.0,0
212,-1,-0.5,-0.5,0.25,10,104,0.5,-0.25,-2
213,-1,-0.5,0.5,-0.25,10,307,0.0,-0.0,-1
214,0,-0.5,0.5,-0.25,10,302,0.0,-0.0,0
215,0,-0.5,-0.5,0.25,10,201,-0.5,0.25,-1
216,-1,-0.5,-0.5,0.25,10,102,0.5,-0.25,-2
217,0,-0.5,0.5,-0.25,11,404,0.0,-0.0,1
218,0,-0.5,-0.5,0.25,11,203,-0.5,0.25,-1
219,-1,-0.5,-0.5,0.25,11,104,0.5,-0.25,-2
220,0,-0.5,0.5,-0.25,11,406,0.0,-0.0,1
221,0,-0.5,-0.5,0.25,11,206,-0.5,0.25,-1
222,-1,-0.5,-0.5,0.25,11,107,0.5,-0.25,-2
223,0,-0.5,0.5,-0.25,11,308,0.0,-0.0,0
224,0,-0.5,0.5,-0.25,11,403,0.0,-0.0,1
225,0,-0.5,-0.5,0.25,11,204,-0.5,0.25,-1
226,0,-0.5,0.5,-0.25,11,303,0.0,-0.0,0
227,0,-0.5,0.5,-0.25,11,405,0.0,-0.0,1
228,0,-0.5,-0.5,0.25,11,205,-0.5,0.25,-1
229,-1,-0.5,-0.5,0.25,11,105,0.5,-0.25,-2
230,0,-0.5,0.5,-0.25,11,401,0.0,-0.0,1
231,0,-0.5,0.5,-0.25,11,302,0.0,-0.0,0
232,0,-0.5,0.5,-0.25,11,307,0.0,-0.0,0
233,-1,-0.5,0.5,-0.25,11,407,0.0,-0.0,0
234,-1,-0.5,0.5,-0.25,11,402,0.0,-0.0,0
235,0,-0.5,-0.5,0.25,11,106,0.5,-0.25,-1
236,0,-0.5,-0.5,0.25,11,103,0.5,-0.25,-1
237,0,-0.5,-0.5,0.25,11,202,-0.5,0.25,-1
238,0,-0.5,-0.5,0.25,11,108,0.5,-0.25,-1
239,0,-0.5,-0.5,0.25,11,207,-0.5,0.25,-1
240,0,-0.5,0.5,-0.25,11,305,0.0,-0.0,0
241,0,-0.5,0.5,-0.25,11,306,0.0,-0.0,0
242,0,-0.5,-0.5,0.25,11,208,-0.5,0.25,-1
243,0,-0.5,0.5,-0.25,11,304,0.0,-0.0,0
244,0,-0.5,-0.5,0.25,11,201,-0.5,0.25,-1
245,0,-0.5,0.5,-0.25,11,408,0.0,-0.0,1
246,0,-0.5,-0.5,0.25,11,101,0.5,-0.25,-1
247,0,-0.5,0.5,-0.25,11,301,0.0,-0.0,0
248,-1,-0.5,0.5,-0.25,13,301,0.0,-0.0,-1
249,-1,-0.5,-0.5,0.25,13,104,0.5,-0.25,-2
250,0,-0.5,-0.5,0.25,13,208,-0.5,0.25,-1
251,0,-0.5,0.5,-0.25,13,408,0.0,-0.0,1
252,0,-0.5,0.5,-0.25,13,304,0.0,-0.0,0
253,0,-0.5,0.5,-0.25,13,303,0.0,-0.0,0
254,0,-0.5,-0.5,0.25,13,205,-0.5,0.25,-1
255,-1,-0.5,-0.5,0.25,13,107,0.5,-0.25,-2
256,0,-0.5,0.5,-0.25,13,401,0.0,-0.0,1
257,0,-0.5,-0.5,0.25,13,203,-0.5,0.25,-1
258,0,-0.5,0.5,-0.25,13,302,0.0,-0.0,0
259,0,-0.5,0.5,-0.25,13,307,0.0,-0.0,0
260,0,-0.5,-0.5,0.25,13,207,-0.5,0.25,-1
261,-1,-0.5,-0.5,0.25,13,103,0.5,-0.25,-2
262,0,-0.5,-0.5,0.25,13,202,-0.5,0.25,-1
263,0,-0.5,-0.5,0.25,13,201,-0.5,0.25,-1
264,-1,-0.5,-0.5,0.25,13,108,0.5,-0.25,-2
265,-1,-0.5,-0.5,0.25,13,106,0.5,-0.25,-2
266,0,-0.5,0.5,-0.25,13,405,0.0,-0.0,1
267,-1,-0.5,-0.5,0.25,13,102,0.5,-0.25,-2
268,0,-0.5,0.5,-0.25,13,404,0.0,-0.0,1
269,0,-0.5,0.5,-0.25,13,402,0.0,-0.0,1
270,0,-0.5,0.5,-0.25,13,306,0.0,-0.0,0
271,0,-0.5,0.5,-0.25,13,407,0.0,-0.0,1
272,0,-0.5,-0.5,0.25,13,206,-0.5,0.25,-1
273,0,-0.5,-0.5,0.25,13,105,0.5,-0.25,-1
274,0,-0.5,0.5,-0.25,13,403,0.0,-0.0,1
275,-1,-0.5,-0.5,0.25,13,101,0.5,-0.25,-2
276,0,-0.5,0.5,-0.25,13,406,0.0,-0.0,1
277,0,-0.5,0.5,-0.25,13,308,0.0,-0.0,0
278,0,-0.5,0.5,-0.25,13,305,0.0,-0.0,0
279,0,-0.5,0.5,-0.25,15,307,0.0,-0.0,0
280,0,-0.5,-0.5,0.25,15,107,0.5,-0.25,-1
281,0,-0.5,0.5,-0.25,15,304,0.0,-0.0,0
282,0,-0.5,0.5,-0.25,15,407,0.0,-0.0,1
283,-1,-0.5,-0.5,0.25,15,102,0.5,-0.25,-2
284,-1,-0.5,0.5,-0.25,15,305,0.0,-0.0,-1
285,-1,-0.5,0.5,-0.25,15,402,0.0,-0.0,0
286,-1,-0.5,-0.5,0.25,15,202,-0.5,0.25,-2
287,-1,-0.5,0.5,-0.25,15,404,0.0,-0.0,0
288,0,-0.5,-0.5,0.25,15,206,-0.5,0.25,-1
289,-1,-0.5,0.5,-0.25,15,306,0.0,-0.0,-1
290,-1,-0.5,0.5,-0.25,15,401,0.0,-0.0,0
291,-1,-0.5,-0.5,0.25,15,108,0.5,-0.25,-2
292,0,-0.5,-0.5,0.25,15,207,-0.5,0.25,-1
293,-1,-0.5,-0.5,0.25,15,103,0.5,-0.25,-2
294,-1,-0.5,0.5,-0.25,15,303,0.0,-0.0,-1
295,-1,-0.5,-0.5,0.25,15,104,0.5,-0.25,-2
296,-1,-0.5,0.5,-0.25,15,405,0.0,-0.0,0
297,-1,-0.5,0.5,-0.25,15,406,0.0,-0.0,0
298,0,-0.5,0.5,-0.25,15,301,0.0,-0.0,0
299,-1,-0.5,-0.5,0.25,15,203,-0.5,0.25,-2
300,0,-0.5,0.5,-0.25,15,408,0.0,-0.0,1
301,-1,-0.5,-0.5,0.25,15,204,-0.5,0.25,-2
302,-1,-0.5,0.5,-0.25,15,403,0.0,-0.0,0
303,0,-0.5,-0.5,0.25,15,208,-0.5,0.25,-1
304,0,-0.5,0.5,-0.25,17,405,0.0,-0.0,1
305,0,-0.5,-0.5,0.25,17,206,-0.5,0.25,-1
306,0,-0.5,0.5,-0.25,17,306,0.0,-0.0,0
307,0,-0.5,-0.5,0.25,17,207,-0.5,0.25,-1
308,0,-0.5,0.5,-0.25,17,302,0.0,-0.0,0
309,0,-0.5,0.5,-0.25,17,401,0.0,-0.0,1
310,0,-0.5,0.5,-0.25,17,301,0.0,-0.0,0
311,0,-0.5,-0.5,0.25,17,104,0.5,-0.25,-1
312,0,-0.5,0.5,-0.25,17,307,0.0,-0.0,0
313,0,-0.5,-0.5,0.25,17,201,-0.5,0.25,-1
314,0,-0.5,0.5,-0.25,17,304,0.0,-0.0,0
315,0,-0.5,0.5,-0.25,17,404,0.0,-0.0,1
316,0,-0.5,0.5,-0.25,17,406,0.0,-0.0,1
317,0,-0.5,0.5,-0.25,17,308,0.0,-0.0,0
318,-1,-0.5,-0.5,0.25,17,107,0.5,-0.25,-2
319,0,-0.5,0.5,-0.25,17,305,0.0,-0.0,0
320,0,-0.5,-0.5,0.25,17,101,0.5,-0.25,-1
321,0,-0.5,-0.5,0.25,17,204,-0.5,0.25,-1
322,0,-0.5,-0.5,0.25,17,108,0.5,-0.25,-1
323,0,-0.5,-0.5,0.25,17,103,0.5,-0.25,-1
324,0,-0.5,-0.5,0.25,17,106,0.5,-0.25,-1
325,0,-0.5,0.5,-0.25,17,402,0.0,-0.0,1
326,0,-0.5,0.5,-0.25,17,408,0.0,-0.0,1
327,0,-0.5,0.5,-0.25,17,407,0.0,-0.0,1
328,0,-0.5,-0.5,0.25,17,102,0.5,-0.25,-1
329,0,-0.5,0.5,-0.25,17,303,0.0,-0.0,0
330,0,-0.5,-0.5,0.25,17,208,-0.5,0.25,-1
331,0,-0.5,-0.5,0.25,17,203,-0.5,0.25,-1
332,0,-0.5,-0.5,0.25,17,202,-0.5,0.25,-1
333,0,-0.5,0.5,-0.25,17,403,0.0,-0.0,1
334,0,-0.5,-0.5,0.25,17,205,-0.5,0.25,-1
335,-1,-0.5,-0.5,0.25,18,205,-0.5,0.25,-2
336,0,-0.5,0.5,-0.25,18,303,0.0,-0.0,0
337,-1,-0.5,-0.5,0.25,18,101,0.5,-0.25,-2
338,0,-0.5,-0.5,0.25,18,202,-0.5,0.25,-1
339,0,-0.5,0.5,-0.25,18,403,0.0,-0.0,1
340,0,-0.5,0.5,-0.25,18,401,0.0,-0.0,1
341,0,-0.5,-0.5,0.25,18,204,-0.5,0.25,-1
342,0,-0.5,-0.5,0.25,18,107,0.5,-0.25,-1
343,0,-0.5,0.5,-0.25,18,407,0.0,-0.0,1
344,0,-0.5,0.5,-0.25,18,307,0.0,-0.0,0
345,0,-0.5,0.5,-0.25,18,304,0.0,-0.0,0
346,0,-0.5,0.5,-0.25,18,404,0.0,-0.0,1
347,-1,-0.5,-0.5,0.25,18,108,0.5,-0.25,-2
348,0,-0.5,0.5,-0.25,18,408,0.0,-0.0,1
349,0,-0.5,-0.5,0.25,18,206,-0.5,0.25,-1
350,-1,-0.5,-0.5,0.25,18,208,-0.5,0.25,-2
351,0,-0.5,0.5,-0.25,18,308,0.0,-0.0,0
352,0,-0.5,-0.5,0.25,18,103,0.5,-0.25,-1
353,0,-0.5,-0.5,0.25,18,102,0.5,-0.25,-1
354,0,-0.5,0.5,-0.25,18,301,0.0,-0.0,0
355,0,-0.5,-0.5,0.25,18,104,0.5,-0.25,-1
356,0,-0.5,-0.5,0.25,18,201,-0.5,0.25,-1
357,0,-0.5,-0.5,0.25,18,203,-0.5,0.25,-1
358,0,-0.5,0.5,-0.25,18,405,0.0,-0.0,1
359,0,-0.5,-0.5,0.25,18,106,0.5,-0.25,-1
360,0,-0.5,0.5,-0.25,18,406,0.0,-0.0,1
361,0,-0.5,0.5,-0.25,18,302,0.0,-0.0,0
362,0,-0.5,-0.5,0.25,18,207,-0.5,0.25,-1
363,0,-0.5,0.5,-0.25,18,306,0.0,-0.0,0
364,0,-0.5,0.5,-0.25,18,402,0.0,-0.0,1
365,0,-0.5,0.5,-0.25,21,408,0.0,-0.0,1
366,-1,-0.5,0.5,-0.25,21,307,0.0,-0.0,-1
367,0,-0.5,-0.5,0.25,21,206,-0.5,0.25,-1
368,-1,-0.5,-0.5,0.25,21,101,0.5,-0.25,-2
369,0,-0.5,-0.5,0.25,21,208,-0.5,0.25,-1
370,0,-0.5,0.5,-0.25,21,407,0.0,-0.0,1
371,0,-0.5,0.5,-0.25,21,401,0.0,-0.0,1
372,0,-0.5,0.5,-0.25,21,302,0.0,-0.0,0
373,-1,-0.5,-0.5,0.25,21,107,0.5,-0.25,-2
374,-1,-0.5,-0.5,0.25,21,108,0.5,-0.25,-2
375,0,-0.5,0.5,-0.25,21,303,0.0,-0.0,0
376,0,-0.5,0.5,-0.25,21,304,0.0,-0.0,0
377,0,-0.5,-0.5,0.25,21,201,-0.5,0.25,-1
378,0,-0.5,0.5,-0.25,21,305,0.0,-0.0,0
379,0,-0.5,-0.5,0.25,21,207,-0.5,0.25,-1
380,0,-0.5,0.5,-0.25,21,405,0.0,-0.0,1
381,-1,-0.5,-0.5,0.25,21,102,0.5,-0.25,-2
382,-1,-0.5,-0.5,0.25,21,103,0.5,-0.25,-2
383,0,-0.5,-0.5,0.25,21,204,-0.5,0.25,-1
384,0,-0.5,-0.5,0.25,21,104,0.5,-0.25,-1
385,0,-0.5,-0.5,0.25,21,203,-0.5,0.25,-1
386,0,-0.5,0.5,-0.25,21,404,0.0,-0.0,1
387,0,-0.5,0.5,-0.25,21,406,0.0,-0.0,1
388,0,-0.5,0.5,-0.25,21,402,0.0,-0.0,1
389,0,-0.5,0.5,-0.25,21,301,0.0,-0.0,0
390,0,-0.5,-0.5,0.25,22,101,0.5,-0.25,-1
391,0,-0.5,-0.5,0.25,21,202,-0.5,0.25,-1
392,0,-0.5,0.5,-0.25,21,306,0.0,-0.0,0
393,0,-0.5,-0.5,0.25,22,208,-0.5,0.25,-1
394,0,-0.5,0.5,-0.25,21,403,0.0,-0.0,1
395,0,-0.5,-0.5,0.25,21,205,-0.5,0.25,-1
396,0,-0.5,0.5,-0.25,22,408,0.0,-0.0,1
397,0,-0.5,-0.5,0.25,21,105,0.5,-0.25,-1
398,0,-0.5,0.5,-0.25,21,308,0.0,-0.0,0
399,-1,-0.5,0.5,-0.25,22,405,0.0,-0.0,0
400,0,-0.5,-0.5,0.25,22,204,-0.5,0.25,-1
401,-1,-0.5,0.5,-0.25,22,404,0.0,-0.0,0
402,0,-0.5,-0.5,0.25,22,105,0.5,-0.25,-1
403,0,-0.5,0.5,-0.25,22,303,0.0,-0.0,0
404,0,-0.5,0.5,-0.25,22,307,0.0,-0.0,0
405,0,-0.5,-0.5,0.25,22,202,-0.5,0.25,-1
406,0,-0.5,-0.5,0.25,22,205,-0.5,0.25,-1
407,-2,-0.5,0.5,-0.25,22,407,0.0,-0.0,-1
408,0,-0.5,-0.5,0.25,22,201,-0.5,0.25,-1
