,id,model,grid_num,reward,best_reward
912,27,pressure,21,0,0
913,27,pressure,22,0,0
914,27,pressure,23,1,1
915,27,pressure,24,0,0
916,27,pressure,25,0,0
917,27,pressure,26,2,2
918,27,pressure,27,-1,-1
919,27,pressure,28,2,2
920,27,pressure,29,0,0
921,27,pressure,30,0,0
922,27,pressure,31,0,0
923,27,pressure,32,0,0
924,28,pressure,0,-1,-1
925,28,pressure,1,0,1
926,28,pressure,2,0,0
927,28,pressure,3,-2,1
928,28,pressure,4,2,2
929,28,pressure,5,2,2
930,28,pressure,6,-1,-1
931,28,pressure,7,-2,-2
932,28,pressure,8,2,2
933,28,pressure,9,0,0
934,28,pressure,10,-1,-1
935,28,pressure,11,2,2
936,28,pressure,12,-2,-1
937,28,pressure,13,1,1
938,28,pressure,14,-1,-1
939,28,pressure,15,-1,1
940,28,pressure,16,0,2
941,28,pressure,17,1,1
942,28,pressure,18,-1,-1
943,28,pressure,19,1,1
944,28,pressure,20,1,1
945,28,pressure,21,0,0
946,28,pressure,22,0,0
947,28,pressure,23,1,1
948,28,pressure,24,0,0
949,28,pressure,25,0,0
950,28,pressure,26,2,2
951,28,pressure,27,-1,-1
952,28,pressure,28,2,2
953,28,pressure,29,0,0
954,28,pressure,30,0,0
955,28,pressure,31,0,0
956,28,pressure,32,0,0
957,29,pressure,0,-1,-1
958,29,pressure,1,0,1
959,29,pressure,2,0,0
960,29,pressure,3,-2,1
961,29,pressure,4,2,2
962,29,pressure,5,2,2
963,29,pressure,6,-1,-1
964,29,pressure,7,-2,-2
965,29,pressure,8,2,2
966,29,pressure,9,0,0
967,29,pressure,10,-1,-1
968,29,pressure,11,2,2
969,29,pressure,12,-1,-1
970,29,pressure,13,1,1
971,29,pressure,14,-2,-1
972,29,pressure,15,1,1
973,29,pressure,16,0,2
974,29,pressure,17,1,1
975,29,pressure,18,-1,-1
976,29,pressure,19,1,1
977,29,pressure,20,-1,1
978,29,pressure,21,0,0
979,29,pressure,22,0,0
980,29,pressure,23,1,1
981,29,pressure,24,-2,0
982,29,pressure,25,-1,0
983,29,pressure,26,2,2
984,29,pressure,27,-1,-1
985,29,pressure,28,2,2
986,29,pressure,29,0,0
987,29,pressure,30,-2,0
988,29,pressure,31,0,0
989,29,pressure,32,0,0
990,30,pressure,0,-1,-1
991,30,pressure,1,0,1
992,30,pressure,2,0,0
993,30,pressure,3,-2,1
994,30,pressure,4,2,2
995,30,pressure,5,2,2
996,30,pressure,6,-1,-1
997,30,pressure,7,-2,-2
998,30,pressure,8,2,2
999,30,pressure,9,0,0
1000,30,pressure,10,-1,-1
1001,30,pressure,11,2,2
1002,30,pressure,12,-2,-1
1003,30,pressure,13,1,1
1004,30,pressure,14,-1,-1
1005,30,pressure,15,1,1
1006,30,pressure,16,2,2
1007,30,pressure,17,1,1
1008,30,pressure,18,-1,-1
1009,30,pressure,19,1,1
1010,30,pressure,20,1,1
1011,30,pressure,21,0,0
1012,30,pressure,22,0,0
1013,30,pressure,23,1,1
1014,30,pressure,24,-2,0
1015,30,pressure,25,-1,0
1016,30,pressure,26,2,2
1017,30,pressure,27,-1,-1
1018,30,pressure,28,2,2
1019,30,pressure,29,0,0
1020,30,pressure,30,0,0
1021,30,pressure,31,0,0
1022,30,pressure,32,0,0
1023,31,pressure,0,-1,-1
1024,31,pressure,1,0,1
1025,31,pressure,2,0,0
1026,31,pressure,3,-2,1
1027,31,pressure,4,2,2
1028,31,pressure,5,2,2
1029,31,pressure,6,-1,-1
1030,31,pressure,7,-2,-2
1031,31,pressure,8,2,2
1032,31,pressure,9,0,0
1033,31,pressure,10,-1,-1
1034,31,pressure,11,2,2
1035,31,pressure,12,-2,-1
1036,31,pressure,13,1,1
1037,31,pressure,14,-1,-1
1038,31,pressure,15,1,1
1039,31,pressure,16,2,2
1040,31,pressure,17,1,1
1041,31,pressure,18,-1,-1
1042,31,pressure,19,1,1
1043,31,pressure,20,1,1
1044,31,pressure,21,0,0
1045,31,pressure,22,0,0
1046,31,pressure,23,1,1
1047,31,pressure,24,-2,0
1048,31,pressure,25,-1,0
1049,31,pressure,26,2,2
1050,31,pressure,27,-1,-1
1051,31,pressure,28,0,2
1052,31,pressure,29,0,0
