,score_dif,time_constraint,in_distrib,time_x_distrib,userid,gridnum
144,0,0.5,-0.5,-0.25,5,26
145,0,0.5,-0.5,-0.25,5,9
146,0,0.5,-0.5,-0.25,5,20
147,0,0.5,-0.5,-0.25,5,15
148,-1,0.5,-0.5,-0.25,5,10
149,0,0.5,-0.5,-0.25,5,22
150,-1,0.5,-0.5,-0.25,6,10
151,0,0.5,-0.5,-0.25,6,9
152,0,0.5,-0.5,-0.25,6,11
153,2,0.5,0.5,0.25,6,3
154,0,0.5,-0.5,-0.25,6,25
155,0,0.5,-0.5,-0.25,6,7
156,0,0.5,-0.5,-0.25,6,1
157,0,0.5,-0.5,-0.25,6,28
158,0,0.5,-0.5,-0.25,7,16
159,0,0.5,-0.5,-0.25,6,13
160,0,0.5,-0.5,-0.25,7,24
161,0,0.5,-0.5,-0.25,6,20
162,0,0.5,-0.5,-0.25,7,5
163,0,0.5,-0.5,-0.25,6,2
164,0,0.5,-0.5,-0.25,7,23
165,0,0.5,-0.5,-0.25,7,27
166,0,0.5,-0.5,-0.25,6,17
167,0,0.5,-0.5,-0.25,7,7
168,0,0.5,-0.5,-0.25,6,29
169,0,0.5,-0.5,-0.25,6,0
170,0,0.5,-0.5,-0.25,7,26
171,0,0.5,-0.5,-0.25,6,26
172,0,0.5,-0.5,-0.25,7,20
173,0,0.5,-0.5,-0.25,7,19
174,0,0.5,-0.5,-0.25,6,15
175,0,0.5,-0.5,-0.25,7,1
176,0,0.5,-0.5,-0.25,6,4
177,0,0.5,-0.5,-0.25,7,28
178,0,0.5,-0.5,-0.25,6,16
179,0,0.5,-0.5,-0.25,7,21
180,0,0.5,-0.5,-0.25,6,5
181,0,0.5,0.5,0.25,7,3
182,0,0.5,-0.5,-0.25,6,6
183,0,0.5,-0.5,-0.25,6,27
184,-1,0.5,-0.5,-0.25,7,17
185,0,0.5,-0.5,-0.25,6,21
186,0,0.5,-0.5,-0.25,7,4
187,0,0.5,-0.5,-0.25,7,0
188,0,0.5,0.5,0.25,6,12
189,0,0.5,-0.5,-0.25,7,22
190,0,0.5,0.5,0.25,6,14
191,0,0.5,-0.5,-0.25,7,10
192,0,0.5,-0.5,-0.25,6,19
193,0,0.5,-0.5,-0.25,7,6
194,0,0.5,-0.5,-0.25,6,22
195,0,0.5,-0.5,-0.25,7,29
196,0,0.5,-0.5,-0.25,6,23
197,0,0.5,-0.5,-0.25,7,2
198,0,0.5,-0.5,-0.25,6,24
199,0,0.5,0.5,0.25,7,12
200,0,0.5,-0.5,-0.25,6,18
201,0,0.5,-0.5,-0.25,7,9
202,0,0.5,-0.5,-0.25,6,8
203,0,0.5,-0.5,-0.25,7,18
204,0,0.5,-0.5,-0.25,7,25
205,0,0.5,-0.5,-0.25,7,13
206,0,0.5,-0.5,-0.25,7,8
207,0,0.5,-0.5,-0.25,7,11
208,0,0.5,-0.5,-0.25,7,15
209,0,0.5,0.5,0.25,7,14
210,0,-0.5,-0.5,0.25,8,19
211,0,-0.5,-0.5,0.25,8,2
212,0,-0.5,-0.5,0.25,8,18
213,0,-0.5,-0.5,0.25,8,15
214,0,-0.5,-0.5,0.25,8,23
215,0,-0.5,-0.5,0.25,8,16
216,0,-0.5,-0.5,0.25,8,8
217,0,-0.5,-0.5,0.25,8,1
218,0,-0.5,-0.5,0.25,8,28
219,-1,-0.5,-0.5,0.25,8,17
220,0,-0.5,-0.5,0.25,8,9
221,0,-0.5,-0.5,0.25,8,21
222,-1,-0.5,-0.5,0.25,8,22
223,-3,-0.5,0.5,-0.25,8,12
224,0,-0.5,-0.5,0.25,8,6
225,0,-0.5,-0.5,0.25,8,20
226,0,-0.5,-0.5,0.25,8,0
227,0,-0.5,-0.5,0.25,8,27
228,0,-0.5,-0.5,0.25,8,11
229,-2,-0.5,-0.5,0.25,8,13
230,0,-0.5,-0.5,0.25,8,24
231,0,-0.5,-0.5,0.25,8,26
232,-1,-0.5,-0.5,0.25,8,4
233,0,-0.5,-0.5,0.25,8,5
234,2,-0.5,0.5,-0.25,8,3
235,0,-0.5,-0.5,0.25,8,25
236,0,-0.5,-0.5,0.25,8,29
237,-1,-0.5,0.5,-0.25,8,14
238,0,-0.5,-0.5,0.25,8,10
239,0,-0.5,-0.5,0.25,8,7
240,-6,-0.5,-0.5,0.25,11,11
241,-2,-0.5,-0.5,0.25,11,21
242,-3,-0.5,0.5,-0.25,11,14
243,-1,-0.5,-0.5,0.25,11,25
244,0,-0.5,-0.5,0.25,11,23
245,-3,-0.5,-0.5,0.25,11,18
246,0,-0.5,-0.5,0.25,11,6
247,0,-0.5,-0.5,0.25,11,17
248,0,-0.5,-0.5,0.25,11,0
249,-4,-0.5,-0.5,0.25,11,9
250,0,-0.5,-0.5,0.25,11,28
251,0,-0.5,-0.5,0.25,11,1
252,0,-0.5,-0.5,0.25,11,20
253,0,-0.5,-0.5,0.25,11,22
254,0,-0.5,-0.5,0.25,11,2
255,0,-0.5,-0.5,0.25,11,8
256,0,0.5,-0.5,-0.25,12,16
257,-2,-0.5,-0.5,0.25,11,16
258,0,-0.5,-0.5,0.25,11,5
259,0,0.5,-0.5,-0.25,12,29
260,-1,-0.5,0.5,-0.25,11,12
261,0,0.5,-0.5,-0.25,12,11
262,-1,-0.5,0.5,-0.25,11,3
263,0,-0.5,-0.5,0.25,11,15
264,0,0.5,-0.5,-0.25,12,1
265,0,-0.5,-0.5,0.25,11,29
266,0,-0.5,-0.5,0.25,11,7
267,0,0.5,-0.5,-0.25,12,24
268,0,-0.5,-0.5,0.25,11,24
269,0,0.5,-0.5,-0.25,12,5
270,0,-0.5,-0.5,0.25,11,19
271,0,-0.5,-0.5,0.25,11,27
272,0,0.5,-0.5,-0.25,12,0
273,0,-0.5,-0.5,0.25,11,13
274,0,0.5,-0.5,-0.25,12,6
275,0,-0.5,-0.5,0.25,11,4
276,-1,-0.5,-0.5,0.25,11,10
277,-1,0.5,-0.5,-0.25,12,23
278,0,-0.5,-0.5,0.25,11,26
279,0,0.5,-0.5,-0.25,12,25
280,0,0.5,-0.5,-0.25,12,20
281,0,0.5,-0.5,-0.25,12,26
282,-1,0.5,0.5,0.25,12,14
283,0,0.5,-0.5,-0.25,12,17
284,0,0.5,-0.5,-0.25,12,4
285,0,0.5,-0.5,-0.25,12,8
286,0,0.5,-0.5,-0.25,12,10
287,-4,-0.5,-0.5,0.25,9,29
288,0,0.5,-0.5,-0.25,12,7
289,-2,-0.5,-0.5,0.25,9,8
290,-2,-0.5,-0.5,0.25,9,2
291,0,0.5,-0.5,-0.25,12,2
292,0,-0.5,-0.5,0.25,9,28
293,0,0.5,-0.5,-0.25,12,27
294,0,-0.5,-0.5,0.25,9,6
295,-1,-0.5,0.5,-0.25,9,3
296,0,0.5,-0.5,-0.25,12,15
297,-1,-0.5,-0.5,0.25,9,0
298,-1,0.5,0.5,0.25,12,3
299,0,-0.5,-0.5,0.25,9,9
300,-1,-0.5,0.5,-0.25,9,14
301,-1,0.5,0.5,0.25,12,12
302,0,-0.5,-0.5,0.25,9,11
303,-1,-0.5,-0.5,0.25,9,1
304,0,0.5,-0.5,-0.25,12,9
305,-1,-0.5,-0.5,0.25,9,17
306,0,-0.5,-0.5,0.25,9,24
307,0,0.5,-0.5,-0.25,12,21
308,0,-0.5,-0.5,0.25,9,19
309,0,0.5,-0.5,-0.25,12,13
310,-1,-0.5,-0.5,0.25,9,25
311,0,-0.5,-0.5,0.25,9,5
312,0,0.5,-0.5,-0.25,12,18
313,-2,-0.5,-0.5,0.25,9,21
314,-5,-0.5,-0.5,0.25,9,15
315,0,0.5,-0.5,-0.25,12,22
316,0,-0.5,-0.5,0.25,9,7
317,0,0.5,-0.5,-0.25,12,28
318,0,0.5,-0.5,-0.25,12,19
319,-6,-0.5,-0.5,0.25,9,16
320,0,-0.5,-0.5,0.25,9,23
321,0,-0.5,-0.5,0.25,9,22
322,0,-0.5,-0.5,0.25,9,18
323,0,-0.5,-0.5,0.25,16,29
324,0,-0.5,-0.5,0.25,16,7
325,0,-0.5,-0.5,0.25,16,20
326,0,-0.5,-0.5,0.25,16,28
327,0,-0.5,-0.5,0.25,16,19
328,-1,-0.5,0.5,-0.25,16,14
329,0,-0.5,-0.5,0.25,16,8
330,0,-0.5,-0.5,0.25,16,5
331,0,-0.5,-0.5,0.25,16,6
332,0,-0.5,-0.5,0.25,16,11
333,0,-0.5,-0.5,0.25,16,23
334,0,-0.5,-0.5,0.25,16,21
335,0,-0.5,-0.5,0.25,16,24
336,0,-0.5,-0.5,0.25,16,4
337,0,-0.5,-0.5,0.25,16,18
338,0,-0.5,-0.5,0.25,16,1
339,0,-0.5,-0.5,0.25,16,15
340,0,-0.5,-0.5,0.25,16,17
341,0,-0.5,-0.5,0.25,16,25
342,-1,-0.5,-0.5,0.25,16,10
343,-2,-0.5,-0.5,0.25,16,13
344,0,-0.5,-0.5,0.25,16,0
345,-1,-0.5,0.5,-0.25,16,3
346,0,-0.5,-0.5,0.25,16,27
347,0,-0.5,-0.5,0.25,16,9
348,-2,-0.5,-0.5,0.25,16,16
349,0,-0.5,-0.5,0.25,16,2
350,-3,-0.5,0.5,-0.25,16,12
351,-1,-0.5,-0.5,0.25,16,22
352,0,-0.5,-0.5,0.25,16,26
353,-2,0.5,-0.5,-0.25,10,11
354,-1,0.5,0.5,0.25,10,14
355,-1,0.5,-0.5,-0.25,10,10
356,-2,0.5,-0.5,-0.25,10,20
357,-2,0.5,-0.5,-0.25,14,11
358,0,0.5,-0.5,-0.25,10,23
359,-2,0.5,-0.5,-0.25,14,5
360,0,0.5,-0.5,-0.25,14,19
361,0,0.5,-0.5,-0.25,14,13
362,-1,0.5,0.5,0.25,10,12
363,0,0.5,-0.5,-0.25,14,24
364,-1,0.5,-0.5,-0.25,10,1
365,-1,0.5,-0.5,-0.25,14,22
366,0,0.5,-0.5,-0.25,10,22
367,-1,0.5,0.5,0.25,14,3
368,-2,0.5,-0.5,-0.25,10,13
369,0,0.5,-0.5,-0.25,14,7
370,0,0.5,-0.5,-0.25,14,27
371,0,0.5,-0.5,-0.25,10,18
372,0,0.5,-0.5,-0.25,14,4
373,0,0.5,-0.5,-0.25,10,21
374,0,0.5,-0.5,-0.25,14,29
375,0,0.5,-0.5,-0.25,10,19
376,0,0.5,-0.5,-0.25,14,18
377,0,0.5,-0.5,-0.25,14,1
378,0,0.5,-0.5,-0.25,10,2
379,-1,0.5,-0.5,-0.25,14,17
380,0,0.5,-0.5,-0.25,14,23
381,0,0.5,-0.5,-0.25,10,29
382,0,0.5,-0.5,-0.25,14,20
383,0,0.5,-0.5,-0.25,10,8
384,0,0.5,-0.5,-0.25,14,2
385,0,0.5,0.5,0.25,14,14
386,-1,0.5,0.5,0.25,10,3
387,-1,0.5,0.5,0.25,14,12
388,0,0.5,-0.5,-0.25,14,28
389,0,0.5,-0.5,-0.25,10,7
390,0,0.5,-0.5,-0.25,14,16
391,0,0.5,-0.5,-0.25,10,17
392,-1,0.5,-0.5,-0.25,14,0
393,0,0.5,-0.5,-0.25,14,21
394,0,0.5,-0.5,-0.25,10,24
395,0,0.5,-0.5,-0.25,14,8
396,0,0.5,-0.5,-0.25,14,26
397,-4,0.5,-0.5,-0.25,10,16
398,0,0.5,-0.5,-0.25,14,6
399,0,0.5,-0.5,-0.25,14,9
400,-1,0.5,-0.5,-0.25,10,4
401,0,0.5,-0.5,-0.25,14,10
402,0,0.5,-0.5,-0.25,10,28
403,0,0.5,-0.5,-0.25,14,15
404,0,0.5,-0.5,-0.25,14,25
405,-1,0.5,-0.5,-0.25,10,25
406,0,0.5,-0.5,-0.25,10,5
407,0,0.5,-0.5,-0.25,10,6
408,0,0.5,-0.5,-0.25,10,0
409,0,0.5,-0.5,-0.25,10,27
410,0,0.5,-0.5,-0.25,10,26
411,0,0.5,-0.5,-0.25,10,9
412,0,0.5,-0.5,-0.25,10,15
413,0,-0.5,-0.5,0.25,17,8
414,0,-0.5,-0.5,0.25,17,21
415,0,-0.5,-0.5,0.25,17,10
416,0,-0.5,-0.5,0.25,17,4
417,-4,-0.5,-0.5,0.25,17,2
418,-1,-0.5,-0.5,0.25,17,29
419,0,-0.5,-0.5,0.25,17,19
420,-1,-0.5,0.5,-0.25,17,14
421,0,-0.5,-0.5,0.25,17,18
422,0,-0.5,-0.5,0.25,17,28
423,0,-0.5,-0.5,0.25,17,1
424,0,-0.5,-0.5,0.25,17,9
425,0,-0.5,-0.5,0.25,17,20
426,0,-0.5,-0.5,0.25,17,23
427,-1,-0.5,0.5,-0.25,17,12
428,0,-0.5,-0.5,0.25,17,7
429,-1,-0.5,-0.5,0.25,17,17
430,-1,-0.5,0.5,-0.25,17,3
431,0,-0.5,-0.5,0.25,17,6
432,0,-0.5,-0.5,0.25,17,11
433,-1,-0.5,-0.5,0.25,17,22
434,0,-0.5,-0.5,0.25,17,25
435,0,-0.5,-0.5,0.25,17,15
436,0,-0.5,-0.5,0.25,17,26
437,0,-0.5,-0.5,0.25,17,16
438,0,-0.5,-0.5,0.25,17,24
439,0,-0.5,-0.5,0.25,17,13
440,0,-0.5,-0.5,0.25,17,27
441,0,-0.5,-0.5,0.25,17,0
442,0,-0.5,-0.5,0.25,17,5
443,0,0.5,-0.5,-0.25,15,23
444,0,0.5,-0.5,-0.25,15,21
445,0,0.5,-0.5,-0.25,15,25
446,0,0.5,-0.5,-0.25,15,22
447,0,0.5,-0.5,-0.25,15,2
448,-1,0.5,0.5,0.25,15,12
449,0,0.5,-0.5,-0.25,15,7
450,0,0.5,-0.5,-0.25,15,17
451,0,0.5,-0.5,-0.25,15,5
452,0,0.5,-0.5,-0.25,15,19
453,0,0.5,-0.5,-0.25,15,9
454,0,0.5,-0.5,-0.25,15,16
455,0,0.5,-0.5,-0.25,15,8
456,0,0.5,-0.5,-0.25,15,28
457,0,0.5,-0.5,-0.25,15,20
458,-2,0.5,-0.5,-0.25,15,29
459,0,0.5,-0.5,-0.25,15,27
460,0,0.5,-0.5,-0.25,15,10
461,0,0.5,-0.5,-0.25,15,18
462,0,0.5,-0.5,-0.25,15,15
463,0,0.5,-0.5,-0.25,15,24
464,0,0.5,-0.5,-0.25,15,1
465,0,0.5,-0.5,-0.25,18,24
466,0,0.5,-0.5,-0.25,18,13
467,0,0.5,-0.5,-0.25,15,4
468,0,0.5,-0.5,-0.25,18,16
469,0,0.5,-0.5,-0.25,15,6
470,0,0.5,-0.5,-0.25,18,1
471,0,0.5,-0.5,-0.25,18,25
472,2,0.5,0.5,0.25,15,3
473,0,0.5,-0.5,-0.25,18,2
474,0,0.5,-0.5,-0.25,15,13
475,0,0.5,-0.5,-0.25,18,19
476,0,0.5,-0.5,-0.25,18,22
477,0,0.5,0.5,0.25,15,14
478,0,0.5,-0.5,-0.25,18,23
479,0,0.5,-0.5,-0.25,15,26
480,0,0.5,-0.5,-0.25,18,18
481,0,0.5,-0.5,-0.25,18,8
