,score_dif,time_constraint,in_distrib,time_x_distrib,userid,gridnum
154,-1,0.5,0.5,0.25,18,107
155,0,0.5,-0.5,-0.25,19,408
156,0,0.5,-0.5,-0.25,19,303
157,0,0.5,0.5,0.25,19,105
158,0,0.5,-0.5,-0.25,19,407
159,0,0.5,0.5,0.25,19,101
160,0,0.5,-0.5,-0.25,19,405
161,0,0.5,-0.5,-0.25,19,305
162,-3,-0.5,0.5,-0.25,21,108
163,-5,-0.5,-0.5,0.25,21,402
164,0,-0.5,-0.5,0.25,21,408
165,-4,-0.5,-0.5,0.25,21,304
166,-1,-0.5,-0.5,0.25,21,303
167,-5,-0.5,-0.5,0.25,21,401
168,-1,-0.5,0.5,-0.25,21,107
169,0,-0.5,0.5,-0.25,21,106
170,-4,-0.5,-0.5,0.25,21,302
171,-5,-0.5,0.5,-0.25,23,105
172,0,-0.5,-0.5,0.25,23,404
173,-1,-0.5,-0.5,0.25,23,307
174,-1,-0.5,-0.5,0.25,23,302
175,-1,-0.5,0.5,-0.25,23,106
176,-1,-0.5,0.5,-0.25,23,108
177,0,-0.5,-0.5,0.25,23,301
178,0,-0.5,-0.5,0.25,23,401
179,0,-0.5,-0.5,0.25,23,408
180,0,0.5,-0.5,-0.25,24,408
181,0,0.5,-0.5,-0.25,24,304
182,0,0.5,-0.5,-0.25,24,405
183,-1,0.5,0.5,0.25,24,102
184,0,0.5,-0.5,-0.25,24,303
185,-1,-0.5,0.5,-0.25,26,108
186,-1,0.5,0.5,0.25,24,107
187,0,-0.5,-0.5,0.25,26,301
188,0,0.5,-0.5,-0.25,24,301
189,0,-0.5,-0.5,0.25,26,408
190,0,-0.5,-0.5,0.25,26,403
191,0,-0.5,-0.5,0.25,26,308
192,-1,-0.5,0.5,-0.25,26,102
193,0,0.5,-0.5,-0.25,24,403
194,-1,-0.5,0.5,-0.25,26,104
195,0,-0.5,-0.5,0.25,26,302
196,-1,0.5,0.5,0.25,24,104
197,0,-0.5,-0.5,0.25,26,404
198,0,0.5,-0.5,-0.25,25,405
199,-1,-0.5,0.5,-0.25,27,103
200,0,0.5,-0.5,-0.25,25,408
201,0,-0.5,-0.5,0.25,27,406
202,0,-0.5,-0.5,0.25,27,401
203,0,-0.5,-0.5,0.25,27,402
204,0,-0.5,-0.5,0.25,27,302
205,-1,-0.5,0.5,-0.25,27,107
206,0,0.5,-0.5,-0.25,25,306
207,0,-0.5,-0.5,0.25,27,303
208,0,-0.5,-0.5,0.25,27,301
209,0,-0.5,0.5,-0.25,27,105
210,0,0.5,0.5,0.25,25,102
211,0,0.5,0.5,0.25,25,103
212,0,0.5,0.5,0.25,25,108
213,0,0.5,-0.5,-0.25,25,304
214,0,0.5,-0.5,-0.25,25,308
215,0,0.5,-0.5,-0.25,25,407
216,-1,0.5,0.5,0.25,28,106
217,-2,0.5,-0.5,-0.25,28,407
218,0,0.5,-0.5,-0.25,28,403
219,0,0.5,-0.5,-0.25,28,302
220,0,0.5,-0.5,-0.25,28,305
221,-1,0.5,-0.5,-0.25,28,401
222,-1,0.5,0.5,0.25,28,103
223,0,0.5,0.5,0.25,28,101
224,-1,0.5,-0.5,-0.25,28,308
225,0,0.5,0.5,0.25,29,104
226,0,0.5,-0.5,-0.25,29,403
227,-1,0.5,0.5,0.25,29,107
228,0,0.5,0.5,0.25,29,106
229,0,0.5,-0.5,-0.25,29,306
230,0,0.5,-0.5,-0.25,29,407
231,-1,0.5,-0.5,-0.25,29,307
232,0,0.5,-0.5,-0.25,29,301
233,0,0.5,-0.5,-0.25,29,406
234,-1,-0.5,0.5,-0.25,31,103
235,-1,-0.5,0.5,-0.25,31,105
236,-1,-0.5,0.5,-0.25,31,102
237,0,-0.5,-0.5,0.25,31,408
238,0,-0.5,-0.5,0.25,31,406
239,0,-0.5,-0.5,0.25,31,305
240,0,-0.5,-0.5,0.25,31,306
241,0,-0.5,-0.5,0.25,31,302
242,0,-0.5,-0.5,0.25,31,407
243,0,0.5,-0.5,-0.25,33,406
244,0,0.5,-0.5,-0.25,33,306
245,0,0.5,-0.5,-0.25,33,307
246,0,0.5,-0.5,-0.25,33,404
247,0,0.5,-0.5,-0.25,33,301
248,0,0.5,0.5,0.25,33,101
249,0,0.5,0.5,0.25,33,102
250,0,0.5,-0.5,-0.25,33,402
251,0,0.5,0.5,0.25,33,107
252,-1,-0.5,-0.5,0.25,34,408
253,-1,-0.5,-0.5,0.25,34,402
254,0,0.5,-0.5,-0.25,35,402
255,-1,-0.5,-0.5,0.25,34,305
256,-1,0.5,0.5,0.25,35,105
257,0,-0.5,-0.5,0.25,34,302
258,0,-0.5,-0.5,0.25,34,301
259,0,0.5,-0.5,-0.25,35,301
260,0,-0.5,0.5,-0.25,34,106
261,-1,-0.5,-0.5,0.25,34,403
262,0,0.5,0.5,0.25,35,101
263,0,0.5,-0.5,-0.25,35,408
264,-1,-0.5,0.5,-0.25,34,108
265,-3,-0.5,0.5,-0.25,34,102
266,0,0.5,-0.5,-0.25,35,306
267,0,0.5,0.5,0.25,35,103
268,0,0.5,-0.5,-0.25,35,401
269,0,0.5,-0.5,-0.25,35,302
270,-1,-0.5,0.5,-0.25,36,102
271,0,-0.5,-0.5,0.25,39,308
272,0,-0.5,-0.5,0.25,39,408
273,0,-0.5,-0.5,0.25,39,301
274,0,-0.5,-0.5,0.25,36,405
275,-3,-0.5,0.5,-0.25,36,108
276,-1,-0.5,0.5,-0.25,39,107
277,0,-0.5,-0.5,0.25,36,301
278,0,-0.5,-0.5,0.25,39,303
279,-1,-0.5,-0.5,0.25,36,304
280,0,-0.5,-0.5,0.25,36,402
281,0,-0.5,-0.5,0.25,39,406
282,0,-0.5,0.5,-0.25,39,105
283,0,-0.5,-0.5,0.25,36,403
284,-1,-0.5,0.5,-0.25,39,104
285,0,-0.5,-0.5,0.25,39,404
286,-1,-0.5,0.5,-0.25,36,101
287,0,-0.5,-0.5,0.25,36,303
288,-1,0.5,0.5,0.25,38,101
289,-1,-0.5,-0.5,0.25,40,302
290,-1,-0.5,0.5,-0.25,40,108
291,0,-0.5,-0.5,0.25,40,401
292,0,0.5,0.5,0.25,38,107
293,0,-0.5,-0.5,0.25,40,307
294,0,0.5,-0.5,-0.25,38,408
295,0,-0.5,-0.5,0.25,40,304
296,-1,-0.5,-0.5,0.25,40,405
297,-1,-0.5,0.5,-0.25,40,102
298,0,0.5,-0.5,-0.25,38,405
299,-1,-0.5,0.5,-0.25,40,101
300,0,0.5,-0.5,-0.25,38,305
301,0,-0.5,-0.5,0.25,40,403
302,0,-0.5,-0.5,0.25,37,403
303,0,0.5,-0.5,-0.25,38,307
304,-1,-0.5,0.5,-0.25,37,103
